@_fa,link,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:eIssn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,article-number,source-id,openaccess,openaccessFlag,freetoread.value,freetoreadLabel.value,prism:issn,pii,prism:issueIdentifier,prism:isbn,pubmed-id,@_fa,affilname,affiliation-city,affiliation-country,language,year,main_author
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85200564893'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85200564893?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85200564893&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85200564893&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85200564893,SCOPUS_ID:85200564893,2-s2.0-85200564893,"Big data research in the business, management and accounting field: Revealing the thematic structure based on co-word analysis",Ausejo Sánchez J.L.,Iberoamerican Journal of Science Measurement and Communication,27093158,4,,2024-04-07,7 April 2024,10.47909/ijsmc.116,0,Journal,ar,Article,,21101175744,1,True,,,27097595,,1,,,true,Universidad Nacional José Faustino Sánchez Carrión,Huacho,Peru,en,2024,Ausejo Sánchez J.L.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85190306611'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85190306611?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85190306611&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85190306611&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85190306611,SCOPUS_ID:85190306611,2-s2.0-85190306611,Impact of Digital Government on Digital Transformation of Enterprises from the Perspective of Urban Economic Sustainable Development,Li H.,Sustainability (Switzerland),20711050,16,,2024-04-01,April 2024,10.3390/su16072667,4,Journal,ar,Article,2667,21100240100,1,True,"[{'$': 'all'}, {'$': 'publisherfullgold'}]","[{'$': 'All Open Access'}, {'$': 'Gold'}]",,,7,,,true,Shandong University of Finance and Economics,Jinan,China,en,2024,Li H.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85187641695'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85187641695?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85187641695&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85187641695&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0143622824000353'}]",https://api.elsevier.com/content/abstract/scopus_id/85187641695,SCOPUS_ID:85187641695,2-s2.0-85187641695,Investigating socio-spatial differentiation for metro travelers using smart card data: Older people vs. others,Huang J.,Applied Geography,,165,,2024-04-01,April 2024,10.1016/j.apgeog.2024.103230,4,Journal,ar,Article,103230,27471,0,False,,,01436228,S0143622824000353,,,,true,"Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences",Beijing,China,en,2024,Huang J.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85183978609'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85183978609?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85183978609&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85183978609&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0264275124000271'}]",https://api.elsevier.com/content/abstract/scopus_id/85183978609,SCOPUS_ID:85183978609,2-s2.0-85183978609,Unraveling nonlinear and interaction effects of multilevel built environment features on outdoor jogging with explainable machine learning,Yang W.,Cities,,147,,2024-04-01,April 2024,10.1016/j.cities.2024.104813,14,Journal,ar,Article,104813,16956,0,False,,,02642751,S0264275124000271,,,,true,Chongqing University,Chongqing,China,en,2024,Yang W.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85176253672'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85176253672?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85176253672&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85176253672&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85176253672,SCOPUS_ID:85176253672,2-s2.0-85176253672,Quantitative methods III: Strength in numbers?,Franklin R.,Progress in Human Geography,14770288,48,236-244,2024-04-01,April 2024,10.1177/03091325231210512,0,Journal,ar,Article,,12442,1,True,"[{'$': 'all'}, {'$': 'publisherhybridgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}]","[{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}, {'$': 'Green'}]",03091325,,2,,,true,The Alan Turing Institute,London,United Kingdom,en,2024,Franklin R.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85192382268'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85192382268?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85192382268&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85192382268&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85192382268,SCOPUS_ID:85192382268,2-s2.0-85192382268,Digital lives and data-driven smart urbanism of Rob Kitchin: An agenda of urban social geography,Sun Y.,Progress in Geography,,43,616-628,2024-03-28,28 March 2024,10.18306/dlkxjz.2024.03.015,0,Journal,ar,Article,,21101042147,1,True,"[{'$': 'all'}, {'$': 'publisherfree2read'}]","[{'$': 'All Open Access'}, {'$': 'Bronze'}]",10076301,,3,,,true,Peking University,Beijing,China,en,2024,Sun Y.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85187499443'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85187499443?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85187499443&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85187499443&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85187499443,SCOPUS_ID:85187499443,2-s2.0-85187499443,Grids: Re-considering Infrastructural Politics of Urban Space,Kolesnikova D.A.,Journal of Frontier Studies,25000225,9,187-210,2024-03-07,7 March 2024,10.46539/jfs.v9i1.547,0,Journal,ar,Article,,21101153193,1,True,"[{'$': 'all'}, {'$': 'publisherfullgold'}]","[{'$': 'All Open Access'}, {'$': 'Gold'}]",,,1,,,true,Herzen State Pedagogical University of Russia,Saint Petersburg,Russian Federation,en,2024,Kolesnikova D.A.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85190847485'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85190847485?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85190847485&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85190847485&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85190847485,SCOPUS_ID:85190847485,2-s2.0-85190847485,City evaluation methodology: An overview,Liu H.,Dili Yanjiu,,43,596-620,2024-03-01,March 2024,10.11821/dlyj020230628,2,Journal,ar,Article,,21101141803,0,False,,,10000585,,3,,,true,"Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences",Beijing,China,en,2024,Liu H.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85189014363'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85189014363?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85189014363&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85189014363&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85189014363,SCOPUS_ID:85189014363,2-s2.0-85189014363,"What Local Environments Drive Opportunities for Social Events? A New Approach Based on Bayesian Modeling in Dallas, Texas, USA",Yang Y.,ISPRS International Journal of Geo-Information,22209964,13,,2024-03-01,March 2024,10.3390/ijgi13030081,0,Journal,ar,Article,81,21100427639,1,True,"[{'$': 'all'}, {'$': 'publisherfullgold'}]","[{'$': 'All Open Access'}, {'$': 'Gold'}]",,,3,,,true,The University of Texas at Dallas,Richardson,United States,en,2024,Yang Y.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85188308573'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85188308573?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85188308573&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85188308573&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85188308573,SCOPUS_ID:85188308573,2-s2.0-85188308573,Exploring Smart Cities: Maximizing the Impact of Big Data on Smart Mobility,Gürsoy S.,IZA Journal of Development and Migration,25201786,15,92-101,2024-03-01,March 2024,10.62693/698rho65,0,Journal,ar,Article,,21100851350,1,True,"[{'$': 'all'}, {'$': 'publisherhybridgold'}]","[{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]",,,1,,,true,Beykoz University,Istanbul,Turkey,en,2024,Gürsoy S.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85187721752'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85187721752?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85187721752&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85187721752&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85187721752,SCOPUS_ID:85187721752,2-s2.0-85187721752,Research on Urban Street Network Structure Based on Spatial Syntax and POI Data,Yang L.,Sustainability (Switzerland),20711050,16,,2024-03-01,March 2024,10.3390/su16051757,3,Journal,ar,Article,1757,21100240100,1,True,"[{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]","[{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]",,,5,,,true,Guilin University of Technology,Guilin,China,en,2024,Yang L.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85187497442'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85187497442?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85187497442&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85187497442&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85187497442,SCOPUS_ID:85187497442,2-s2.0-85187497442,Nonlinear and Synergistic Effects of Built Environment Indicators on Street Vitality: A Case Study of Humid and Hot Urban Cities,Li J.,Sustainability (Switzerland),20711050,16,,2024-03-01,March 2024,10.3390/su16051731,5,Journal,ar,Article,1731,21100240100,1,True,"[{'$': 'all'}, {'$': 'publisherfullgold'}]","[{'$': 'All Open Access'}, {'$': 'Gold'}]",,,5,,,true,Hainan University,Haikou,China,en,2024,Li J.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85186931873'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85186931873?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85186931873&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85186931873&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85186931873,SCOPUS_ID:85186931873,2-s2.0-85186931873,Prediction of the Subgrade Soil California Bearing Ratio Using Machine Learning and Neuro-Fuzzy Inference System Techniques: A Sustainable Approach in Urban Infrastructure Development,Gowda S.,Urban Science,24138851,8,,2024-03-01,March 2024,10.3390/urbansci8010004,2,Journal,ar,Article,4,21101141748,1,True,"[{'$': 'all'}, {'$': 'publisherfullgold'}]","[{'$': 'All Open Access'}, {'$': 'Gold'}]",,,1,,,true,"Central Road Research Institute, New Delhi",New Delhi,India,en,2024,Gowda S.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85179755052'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85179755052?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85179755052&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85179755052&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85179755052,SCOPUS_ID:85179755052,2-s2.0-85179755052,Demand Evaluation of Urban Underground Space through Geospatial Big Data,Ge R.,Journal of Urban Planning and Development,19435444,150,,2024-03-01,1 March 2024,10.1061/JUPDDM.UPENG-4251,2,Journal,ar,Article,04023057,13954,0,False,,,07339488,,1,,,true,Hefei University of Technology,Hefei,China,en,2024,Ge R.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85179098889'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85179098889?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85179098889&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85179098889&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0169204623002888'}]",https://api.elsevier.com/content/abstract/scopus_id/85179098889,SCOPUS_ID:85179098889,2-s2.0-85179098889,Environmental factors for outdoor jogging in Beijing: Insights from using explainable spatial machine learning and massive trajectory data,Yang W.,Landscape and Urban Planning,,243,,2024-03-01,March 2024,10.1016/j.landurbplan.2023.104969,27,Journal,ar,Article,104969,19041,0,False,,,01692046,S0169204623002888,,,,true,Chongqing University,Chongqing,China,en,2024,Yang W.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85188306019'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85188306019?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85188306019&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85188306019&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85188306019,SCOPUS_ID:85188306019,2-s2.0-85188306019,Evolution of industrial comparative advantages and its driving mechanism of knowledge flow of cities in the Yangtze River Delta under the background of digital economy,Wang T.,Progress in Geography,,43,203-214,2024-02-28,28 February 2024,10.18306/dlkxjz.2024.02.001,1,Journal,ar,Article,,21101042147,1,True,"[{'$': 'all'}, {'$': 'publisherfree2read'}]","[{'$': 'All Open Access'}, {'$': 'Bronze'}]",10076301,,2,,,true,Ningbo University,Ningbo,China,en,2024,Wang T.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85185887628'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85185887628?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85185887628&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85185887628&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85185887628,SCOPUS_ID:85185887628,2-s2.0-85185887628,Research on the Evaluation of Regional Scientific and Technological Innovation Capabilities Driven by Big Data,Liang K.,Sustainability (Switzerland),20711050,16,,2024-02-01,February 2024,10.3390/su16041379,0,Journal,ar,Article,1379,21100240100,1,True,"[{'$': 'all'}, {'$': 'publisherfullgold'}]","[{'$': 'All Open Access'}, {'$': 'Gold'}]",,,4,,,true,Anhui University,Hefei,China,en,2024,Liang K.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85182891106'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85182891106?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85182891106&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85182891106&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S2210670724000143'}]",https://api.elsevier.com/content/abstract/scopus_id/85182891106,SCOPUS_ID:85182891106,2-s2.0-85182891106,Identifying up-to-date urban land-use patterns with visual and semantic features based on multisource geospatial data,Guo Y.,Sustainable Cities and Society,,101,,2024-02-01,February 2024,10.1016/j.scs.2024.105184,8,Journal,ar,Article,105184,19700194105,0,False,,,22106707,S2210670724000143,,,,true,Central South University,Changsha,China,en,2024,Guo Y.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85182860547'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85182860547?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85182860547&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85182860547&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85182860547,SCOPUS_ID:85182860547,2-s2.0-85182860547,"Understanding Urban Vitality from the Economic and Human Activities Perspective: A Case Study of Chongqing, China",Yang F.F.,Chinese Geographical Science,1993064X,34,52-66,2024-02-01,February 2024,10.1007/s11769-024-1409-x,6,Journal,ar,Article,,25202,0,False,,,10020063,,1,,,true,Sun Yat-Sen University,Guangzhou,China,en,2024,Yang F.F.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85179888064'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85179888064?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85179888064&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85179888064&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0301420723012412'}]",https://api.elsevier.com/content/abstract/scopus_id/85179888064,SCOPUS_ID:85179888064,2-s2.0-85179888064,Evaluating carbon tax impact on natural resource extraction in developing regions: Implicating green recovery,Du P.,Resources Policy,,89,,2024-02-01,February 2024,10.1016/j.resourpol.2023.104530,1,Journal,ar,Article,104530,110031,0,False,,,03014207,S0301420723012412,,,,true,China Communications Construction Company Limited,Beijing,China,en,2024,Du P.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85178138625'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85178138625?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85178138625&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85178138625&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0264837723004763'}]",https://api.elsevier.com/content/abstract/scopus_id/85178138625,SCOPUS_ID:85178138625,2-s2.0-85178138625,Examining spatial coordination of human-land-industry-service system from a regionalization approach: A case study of Beijing,Wang Y.,Land Use Policy,,137,,2024-02-01,February 2024,10.1016/j.landusepol.2023.107010,1,Journal,ar,Article,107010,14500,0,False,,,02648377,S0264837723004763,,,,true,"Key Laboratory of Geographic Information Science, Ministry of Education",Shanghai,China,en,2024,Wang Y.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85176925950'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85176925950?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85176925950&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85176925950&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85176925950,SCOPUS_ID:85176925950,2-s2.0-85176925950,Relational Reprojection Platform: Non-linear distance transformations of spatial data in R,Payne W.B.,Environment and Planning B: Urban Analytics and City Science,23998091,51,546-552,2024-02-01,February 2024,10.1177/23998083231215463,3,Journal,ar,Article,,21101021196,1,True,"[{'$': 'all'}, {'$': 'publisherfree2read'}]","[{'$': 'All Open Access'}, {'$': 'Bronze'}]",23998083,,2,,,true,Rutgers University,Scotch Plains,United States,en,2024,Payne W.B.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85164357979'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85164357979?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85164357979&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85164357979&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85164357979,SCOPUS_ID:85164357979,2-s2.0-85164357979,Impact of digital economy on urban sustainable development: Evidence from Chinese cities,Liu Y.,Sustainable Development,10991719,32,307-324,2024-02-01,February 2024,10.1002/sd.2656,42,Journal,ar,Article,,25874,0,False,,,09680802,,1,,,true,Liaocheng University,Liaocheng,China,en,2024,Liu Y.
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85196778099'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85196778099?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85196778099&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85196778099&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85196778099,SCOPUS_ID:85196778099,2-s2.0-85196778099,"Effects of the built environment on travel distance in bus-oriented, medium-sized cities in China",Li X.,Journal of Transport and Land Use,19387849,17,423-455,2024-01-19,19 January 2024,10.5198/jtlu.2024.2427,0,Journal,ar,Article,,21100223534,1,True,"[{'$': 'all'}, {'$': 'publisherfullgold'}]","[{'$': 'All Open Access'}, {'$': 'Gold'}]",,,1,,,true,Xi'an University of Architecture and Technology,Xi'an,China,en,2024,Li X.
